battery_kwh,solar_kwp,system_cost,baseline_cost,monthly_savings,grid_import_kwh,grid_export_kwh,solar_production_kwh,consumption_kwh,self_consumption_pct,self_sufficiency_pct,simulation_days,investment_cost,total_savings,payback_months,payback_years
9.99,6,14.278739713766592,835.4371500000112,67.67789095765752,103.82193305736276,359.9117687856473,737.7939354152157,459.03140109890114,51.217846676511904,77.38238978666435,364,5825.2,821.1584102862446,86.07242213922594,7.172701844935495
9.99,4,158.50142224026195,835.4371500000112,55.791406134045275,130.9307161389572,164.40758475131724,513.3201552197802,459.03140109890114,67.97172620644022,71.47674084484966,364,4805.2,676.9357277597493,86.12796007426222,7.177330006188519
13.32,6,-19.67530274663672,835.4371500000112,70.4763010505479,77.57813470747288,331.45777729581937,738.9533473827723,459.03140109890114,55.14496571809605,83.09960178720797,364,6091.6,855.1124527466479,86.43472925219083,7.2028941043492365
13.32,4,132.9482764008829,835.4371500000112,57.89743463729079,110.85517060978044,141.77500159804546,513.3201552197802,459.03140109890114,72.38078416434985,75.85019884382682,364,5071.6,702.4888735991283,87.59628180025554,7.299690150021295
6.66,4,209.58047495217346,835.4371500000112,51.58159409734927,171.09382520991852,209.77394285002305,513.3201552197802,459.03140109890114,59.13389709776592,62.727206722606034,364,4538.8,625.8566750478378,87.9926275918108,7.332718965984234
16.65,6,-35.75304950152598,835.4371500000112,71.80139006880802,65.46632246695079,319.16570685036453,740.28103382457,459.03140109890114,56.88587276085752,85.73816032841603,364,6358.0,871.1901995015372,88.54981768329363,7.379151473607802
6.66,6,76.46006369947776,835.4371500000112,62.55305656323078,152.21243589251466,413.2552945567968,736.4598833454797,459.03140109890114,43.88624500773587,66.84051776673127,364,5558.8,758.9770863005335,88.86536174904536,7.405446812420447
16.65,4,122.82247082691556,835.4371500000112,58.73197905272767,102.92014096549471,132.8822508178954,513.3201552197802,459.03140109890114,74.11318268595916,77.57884521209041,364,5338.0,712.6146791730956,90.88745324259747,7.573954436883123
13.32,8,-92.39525506924907,835.4371500000112,76.46970371449947,63.48958633269231,428.46078748917915,850.9993634280218,459.03140109890114,49.652043714434726,86.16879233518644,364,7111.6,927.8324050692603,92.99892185474187,7.749910154561822
9.99,8,-56.712639511233476,835.4371500000112,73.52882880587181,92.24051697956048,462.7549046992443,852.8426707785087,459.03140109890114,45.73971020037925,79.90540151311201,364,6845.2,892.1497895112448,93.09545808314793,7.757954840262328
3.33,4,279.0116826933092,835.4371500000112,45.85924181099193,225.6991275443399,271.4850194451773,513.3201552197802,459.03140109890114,47.1119501767976,50.83144050624292,364,4272.4,556.4254673067021,93.16333701304139,7.763611417753449
3.33,6,153.23783316157363,835.4371500000112,56.22521842075036,211.8977214857963,478.87916196959327,734.623485323309,459.03140109890114,34.81297950080676,53.83807709483003,364,5292.4,682.1993168384377,94.12858053116602,7.8440483775971686
16.65,8,-111.80502109565218,835.4371500000112,78.06940970568654,48.508003695000056,412.27250237751156,851.7465573012998,459.03140109890114,51.596810243205624,89.43253041537594,364,7378.0,947.2421710956634,94.50564603747209,7.875470503122674
6.66,8,9.58024080615493,835.4371500000112,68.06512987861453,143.21328656868226,517.3103174770167,849.7980671074624,459.03140109890114,39.125500810111916,68.8009826286751,364,6578.8,825.8569091938563,96.65448389994187,8.054540324995155
0.0,4,361.9194921499986,835.4371500000112,39.02618059203401,290.90981579670347,345.19856991758104,513.3201552197802,459.03140109890114,32.75179896846582,36.62529075346957,364,3906.0,473.51765785001265,100.08665825723385,8.340554854769488
0.0,6,240.33826526250417,835.4371500000112,49.04661137946487,277.9265862980762,547.0222289835145,728.1270437843406,459.03140109890114,24.87269444897399,39.453687561955,364,4926.0,595.0988847375071,100.4350731162326,8.369589426352716
13.32,10,-140.94097754950414,835.4371500000112,80.47072479803698,56.020738603228075,500.4781355921282,930.9122125326151,459.03140109890114,46.237880559055014,87.79588096389116,364,8131.6,976.3781275495154,101.05041330755311,8.420867775629427
9.99,10,-105.8244833250862,835.4371500000112,77.57650824107945,85.84256740137354,539.9545796612348,936.7258750906319,459.03140109890114,42.357247299377526,81.29919495793312,364,7865.2,941.2616333250975,101.38636268028243,8.448863556690203
16.65,10,-158.3880395720377,835.4371500000112,81.9086694702238,40.0920391434065,476.69412942246845,925.1410102004505,459.03140109890114,48.473354422026645,91.26594846290953,364,8398.0,993.8251895720489,102.52882941839165,8.544069118199305
3.33,8,96.48628248553166,835.4371500000112,60.902544025918644,204.94613922692406,569.7438686280269,832.4540519351406,459.03140109890114,31.558520580975234,55.35247943031959,364,6312.4,738.9508675144796,103.64755858661003,8.63729654888417
6.66,10,-30.878431068019605,835.4371500000112,71.39963580231023,138.12752263392983,581.6013508140857,919.2875849288503,459.03140109890114,36.733470532064274,69.90891640457306,364,7598.8,866.3155810680308,106.42631316831074,8.868859430692561
13.32,12,-176.94887123864424,835.4371500000112,83.43840834384524,51.47959645574184,557.6409411842573,992.822491312917,459.03140109890114,43.83276506489815,88.78516887243401,364,9151.6,1012.3860212386555,109.68090333514925,9.140075277929105
